STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,hazard,Hazard class,wst_oper,Waste management operations,waste,Waste categories,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NL,Netherlands,2016,,330102,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NL,Netherlands,2018,,394446,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NL,Netherlands,2020,,298845,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NL,Netherlands,2022,,267143,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NO,Norway,2010,,25551,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NO,Norway,2012,,84606,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NO,Norway,2014,,48298,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NO,Norway,2016,,56637,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NO,Norway,2018,,51143,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NO,Norway,2020,,41000,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NO,Norway,2022,,27212,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,SE,Sweden,2010,,85830,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,SE,Sweden,2012,,42347,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,SE,Sweden,2014,,102739,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,SE,Sweden,2016,,210477,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,SE,Sweden,2018,,129928,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,SE,Sweden,2020,,67523,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,SE,Sweden,2022,,23132,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,UK,United Kingdom,2010,,262759,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,UK,United Kingdom,2012,,239519,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,UK,United Kingdom,2014,,241230,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,UK,United Kingdom,2016,,300070,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,UK,United Kingdom,2018,,310784,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DE,Germany,2010,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DE,Germany,2012,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DE,Germany,2014,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DE,Germany,2016,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DE,Germany,2018,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DE,Germany,2020,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DE,Germany,2022,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DK,Denmark,2010,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DK,Denmark,2012,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DK,Denmark,2014,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DK,Denmark,2016,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DK,Denmark,2018,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DK,Denmark,2020,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,DK,Denmark,2022,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,ES,Spain,2010,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,ES,Spain,2012,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,ES,Spain,2014,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,ES,Spain,2016,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,ES,Spain,2018,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,ES,Spain,2020,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,ES,Spain,2022,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FI,Finland,2010,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FI,Finland,2012,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FI,Finland,2014,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FI,Finland,2016,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FI,Finland,2018,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FI,Finland,2020,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FI,Finland,2022,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FR,France,2010,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FR,France,2012,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FR,France,2014,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FR,France,2016,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FR,France,2018,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FR,France,2020,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,FR,France,2022,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,NL,Netherlands,2010,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,NL,Netherlands,2012,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,NL,Netherlands,2014,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,NL,Netherlands,2016,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,NL,Netherlands,2018,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,NL,Netherlands,2020,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,NL,Netherlands,2022,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,NO,Norway,2010,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,NO,Norway,2012,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,NO,Norway,2014,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,NO,Norway,2016,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),W076,Textile wastes,NO,Norway,2018,,,,m,missing value; data cannot exist,,
